rec_id,culture,given_name,surname,sex,date_of_birth
rec-0-org,afr,tamrust,soobramoney,,
rec-1-org,afr,ulani,souraphiel,m,19400731
rec-2-org,afr,daneane,katantamalundu,m,19880209
rec-3-org,afr,agodichin,wahab,,19470227
rec-4-org,afr,ihechukwu,makasa,f,19550509
rec-5-org,afr,nezha,melesse,m,19751228
rec-6-org,afr,amechi,kalusopa,f,19900512
rec-7-org,afr,amalai,eyapan,f,19540509
rec-8-org,afr,kirimu,msowoya,,19880304
rec-9-org,afr,bagenda,greifenstein,f,19661010
rec-10-org,afr,keraja,landman,,19720725
rec-11-org,afr,lasana,grundling,f,19510709
rec-12-org,afr,eumolpus,kwemoi,,19980421
rec-13-org,afr,waletta,karshagen,f,19421026
rec-14-org,afr,retha,kiprugut,f,19480911
rec-15-org,afr,mejdan,faal,m,19570123
rec-16-org,afr,netifet,moosa,,19610316
rec-17-org,afr,nyathi,niekerk,f,19660814
rec-18-org,afr,gavivi,latigan,f,
rec-19-org,afr,muiruri,lawal,m,19920512
rec-20-org,afr,nkechinye,ibrahimimam,f,
rec-21-org,afr,koshi,kitson,f,19790424
rec-22-org,afr,selam,rwamirama,f,19490808
rec-23-org,afr,masimong,nwoke,f,
rec-24-org,afr,sandile,shipley,f,19500113
rec-25-org,afr,aboubacar,makumbi,m,19581105
rec-26-org,afr,shacara,ellman,f,19420323
rec-27-org,afr,nwaoma,monde,f,19810418
rec-28-org,afr,hazika,schoultz,f,19880208
rec-29-org,afr,chinwe,chijikwa,f,19910923
rec-30-org,afr,daura,ike,f,19990707
rec-31-org,afr,chidike,woodhouse,f,19550812
rec-32-org,afr,tunu,moffatt,f,19851110
rec-33-org,afr,chiwocha,baard,f,19600226
rec-34-org,afr,hisani,mwangombe,,19611120
rec-35-org,afr,mengistu,erhenede,m,19501120
rec-36-org,afr,kanikah,kuck,f,19820802
rec-37-org,afr,simiyu,marx,m,19680906
rec-38-org,afr,ngabile,wathika,,
rec-39-org,afr,chinyelu,prollins,f,19770804
rec-40-org,afr,owodunni,kamencu,m,19811206
rec-41-org,afr,dibia,okoro,f,
rec-42-org,afr,maimuna,stern,f,19710525
rec-43-org,afr,taffounnout,roux,f,19590722
rec-44-org,afr,babechi,lukwiya,m,19730902
rec-45-org,afr,lubaya,ofosu,,19780607
rec-46-org,afr,sheshe,katurole,f,19861022
rec-47-org,afr,himmi,syse,m,19800610
rec-48-org,afr,lantoniai,hjort,f,19930625
rec-49-org,afr,kitaba,smerdon,,19410719
rec-50-org,afr,jabulani,rasmussen,f,19620721
rec-51-org,afr,dhambizao,masialeti,f,19490107
rec-52-org,afr,,heinen,f,20020726
rec-53-org,afr,omorede,udoh,f,19821110
rec-54-org,afr,abbah,kavuta,f,19770503
rec-55-org,afr,ruhinda,afolabi,f,19481125
rec-56-org,afr,abbeba,kafeero,f,19601007
rec-57-org,afr,keanjaho,davids,f,19631031
rec-58-org,afr,kaneisha,koenraads,,19840419
rec-59-org,afr,nolitha,perumal,f,20000424
rec-60-org,afr,goitsemed,chamah,f,19820302
rec-61-org,afr,mekonen,masuku,f,19680320
rec-62-org,afr,tafari,yifter,m,19840920
rec-63-org,afr,iheoma,boit,f,19890718
rec-64-org,afr,briruc,kimaiyo,f,19830415
rec-65-org,afr,sekani,sinyangwe,f,19850720
rec-66-org,afr,chibuike,mwau,f,19681113
rec-67-org,afr,ayele,mukosa,f,19430428
