rec_id,culture,given_name,surname,date_of_birth,phone_number,national_identifier,medical_record_number,sex
rec-0-org,uga,madison,asabawebwa,19631030,712224124,20204849,KLH-981605,
rec-1-org,uga,baker,nakiranda,19340324,752105080,44007419,KSD-460949,m
rec-2-org,uga,elimia,mawa,19590626,782483917,38347419,KSG-397218,f
rec-3-org,uga,katarikawe,arigangrir,19781018,712734581,82704863,KSG-257330,f
rec-4-org,uga,brian,namawejje,19180623,712731422,11910801,KUB-804893,m
rec-5-org,uga,stephens,mwijuka,19080614,772451557,43361448,FPL-502080,m
rec-6-org,uga,filda,thungu,19740707,782196877,56541964,KSG-752000,f
rec-7-org,uga,dilis,kipaye,19840323,774114362,69368722,FPL-977768,f
rec-8-org,uga,kobugaju,hilder,19460905,782769934,66082605,MPK-654639,m
rec-9-org,uga,elimia,nagadiya,19041102,752423871,43319812,KLH-300880,f
rec-10-org,uga,keti,lidvina,19320201,712529970,69838343,KUB-958639,f
rec-11-org,uga,zachary,namuyingo,19540815,772018907,96042603,KMC-503872,
rec-12-org,uga,medress,makoba,19660818,782342004,75634415,KMC-688513,m
rec-13-org,uga,ochola,arietait,19821208,772461017,74864612,KLH-965557,f
rec-14-org,uga,posiano,awornmungu,19290119,712743021,34783809,KSD-295344,m
rec-15-org,uga,nancy,muhimbura,19030520,752615662,98692687,KLH-529728,f
rec-16-org,uga,mansour,dhizaala,19480301,752973313,57940699,FPL-738734,m
rec-17-org,uga,evase,job,19370927,774370993,98889966,FPL-597104,f
rec-18-org,uga,fausta,gevasiano,19380212,752761429,70484327,KSD-564809,f
rec-19-org,uga,grace,gwokyalya,19820901,752513939,16734709,KSG-402797,f
rec-20-org,uga,visenti,mulalizi,19561217,712380740,78312230,KSG-429855,f
rec-21-org,uga,michael,nahabwe,19460301,712451461,59146322,MBA-925420,
rec-22-org,uga,happy,owino,,,52309277,KUB-776066,f
rec-23-org,uga,joel,irama,19771030,752612072,86832026,KUL-769412,
rec-24-org,uga,isabella,najjuko,19021225,752830613,21540775,MPK-466506,
rec-25-org,uga,mucunguzi,twesigemu,19361123,774554113,76056513,FPL-482301,m
rec-26-org,uga,hafisa,bahemuka,19150930,782542241,14747894,KUL-994199,f
rec-27-org,uga,belinda,ahumuza,19940330,782428235,18489584,KMC-812752,f
rec-28-org,uga,berna,ruhuukya,19420322,772955926,48258088,KUB-291387,f
rec-29-org,uga,prossy,musanya,19480407,752733351,95245329,KSG-468649,f
rec-30-org,uga,julieth,nantandwe,19641129,772086993,23942591,NSU-458117,f
rec-31-org,uga,mastura,deejay,19950224,712865967,47591320,KUB-224014,f
rec-32-org,uga,odongo,lunyaga,19220423,774357539,45713377,KLH-925140,m
rec-33-org,uga,madel,bapabura,19560310,712301139,67702454,FPL-332174,f
rec-34-org,uga,natasha,ojirot,19671015,712831386,57715468,KSD-334247,
rec-35-org,uga,timbigamba,kahuka,19611002,774357279,16050167,KSD-386226,f
rec-36-org,uga,celina,namagembe,,782652754,23670926,NSU-611603,f
rec-37-org,uga,magret,thoya,19590718,782094468,58476850,MBA-247685,f
rec-38-org,uga,tuketeengyeka,nanungi,19320922,774252195,13667730,FPL-547120,f
rec-39-org,uga,cleodhina,turamyeonmwe,19760714,,19274057,MBA-233418,f
rec-40-org,uga,geraldine,nasiyo,19880825,712835977,63551322,KUL-116844,f
rec-41-org,uga,mary,lezu,19370516,772880713,43025887,RUK-331928,f
rec-42-org,uga,michael,goreti,19130302,772059464,37605569,KSD-726343,
rec-43-org,uga,pamella,okunyo,19290908,772927921,76760034,RUK-735627,f
rec-44-org,uga,ebony,nabusulwa,19900812,712665759,70971323,KUL-607404,
rec-45-org,uga,josoline,nassolo,19020217,752062127,36867724,KSG-343385,f
rec-46-org,uga,comfort,asasira,19370119,,49531353,MPK-235811,m
rec-47-org,uga,danson,kisansa,19271010,712797876,83387152,KUL-180011,m
rec-48-org,uga,nancy,tanga,19140906,752165802,68688700,NSU-940895,f
rec-49-org,uga,mathias,namusabi,19940313,752365500,14703689,KMC-371275,f
rec-50-org,uga,imelda,jezure,19511023,782393778,70105554,MPK-607096,f
rec-51-org,uga,aliiho,jeninah,19941219,752432390,50336797,KUB-581320,m
rec-52-org,uga,ananias,mukyala,19070803,774355346,10994639,NSU-193455,f
rec-53-org,uga,wilber,naimali,19430716,782751315,62437681,NSU-144799,m
rec-54-org,uga,anastasha,electra,,774544885,39218034,KMC-386631,f
rec-55-org,uga,janiffer,akatwijuka,19130713,752046090,37932658,MPK-785977,f
rec-56-org,uga,semmy,korugyendo,19180516,782504466,65464606,KLH-664612,f
rec-57-org,uga,shillah,kabasinge,19810902,,76913783,KUB-845410,f
rec-58-org,uga,oliver,kabemera,19820303,752740146,88748697,RUK-790576,
rec-59-org,uga,ayesiga,mujaasi,19891121,752779719,31337501,FPL-774760,f
rec-60-org,uga,modest,hiire,19860729,772276245,11271953,KSD-267500,f
rec-61-org,uga,madeline,namusero,19290920,774590089,25192842,MBA-580030,
rec-62-org,uga,gordon,kuchana,19500501,774311150,27158380,MBA-985326,m
rec-63-org,uga,febis,kintu,19971102,772251503,58193148,RUK-335913,m
rec-64-org,uga,majid,seruwu,19420424,782294206,45535787,KMC-614210,f
rec-65-org,uga,kyomugisha,okoyo,19130924,782653667,53059514,KLH-884357,f
rec-66-org,uga,collins,kyokushaba,19750922,782617972,70395102,KLH-868753,m
rec-67-org,uga,leo,emaru,19651115,712078656,21283530,MBA-296771,m
rec-68-org,uga,edinan,brusha,19930926,782579333,83231810,RUK-355608,f
rec-69-org,uga,zimonia,akorikin,19940914,772953277,37800641,KSD-695629,f
rec-70-org,uga,silverio,sempilisio,,782641092,79909581,KUB-776669,m
rec-71-org,uga,evlyn,katungu,19681031,712638441,45454126,KUB-618901,f
rec-72-org,uga,stephanie,sendagi,19310802,774963997,57680273,KMC-726110,
rec-73-org,uga,jack,obong,19451015,774846074,86045338,KMC-261448,
rec-74-org,uga,pelly,hilary,19900604,774382111,40782755,KUB-459186,f
rec-75-org,uga,jessica,atuhura,19370807,712234313,57364915,MBA-488160,
rec-76-org,uga,bayley,doe,19411129,772382326,46004987,KMC-872424,
rec-77-org,uga,evan,elumansia,19521210,752949537,51966100,KLH-311564,
rec-78-org,uga,new,,19800520,,91687502,FPL-178743,f
rec-79-org,uga,kabanyoro,,19130628,772023620,61313325,MBA-153070,m
rec-80-org,uga,florida,abitegeka,19910904,774944763,44738886,KMC-673665,f
rec-81-org,uga,felekitans,nkamushaba,19570112,774484554,25900899,MPK-630996,m
rec-82-org,uga,rhys,namukanja,19030611,772856990,50292410,KMC-563050,
rec-83-org,uga,gorette,tibalyebwa,19110309,712442276,31072532,KMC-541339,f
rec-84-org,uga,chrysostom,bisanga,19990728,,40467664,KUB-658533,m
